sample_name	anonymized_name	cage_food_consumption_g	cage_location	cage_notes	cage_number	collection_timestamp	description	diet	dna_extracted	dob	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	experiment_duration	exposure_start	exposure_type	general_notes	genotype	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	latitude	longitude	metabolomics_sample_id	mouse_notes	mouse_number	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_name_orit	sample_type	scientific_name	sex	taxon_id	timepoint	title	treatment	diet_short	diet_exp
11548.A15.85.16	A15.85.16	75.4	on shelf		A15	11/17/17 11:00	Mouse 85 stool collection 16 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	17.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	30.9	g	32.842	-117.258	A15_85_16		85	UCSDMI	TRUE	11548	A15.85.16	feces	mouse gut metagenome	male	410661		10 week IHC		RC	RC_AIR
11548.A15.85.17	A15.85.17	36.5	on shelf		A15	11/21/17 11:00	Mouse 85 stool collection 17 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	18	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	30.5	g	32.842	-117.258	A15_85_17		85	UCSDMI	TRUE	11548	a15.85.17	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.17.b	A15.85.17	36.5	on shelf		A15	11/21/17 11:00	Mouse 85 stool collection 17 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	18	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	30.5	g	32.842	-117.258	A15_85_17		85	UCSDMI	TRUE	11548	a15.85.17	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.18	A15.85.18	57.2	on shelf		A15	11/24/17 11:00	Mouse 85 stool collection 18 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	18.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	30.3	g	32.842	-117.258	A15_85_18		85	UCSDMI	TRUE	11548	a15.85.18	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.18.b	A15.85.18	57.2	on shelf		A15	11/24/17 11:00	Mouse 85 stool collection 18 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	18.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	30.3	g	32.842	-117.258	A15_85_18		85	UCSDMI	TRUE	11548	a15.85.18	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.19	A15.85.19	78.5	on shelf		A15	11/28/17 11:00	Mouse 85 stool collection 19 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	19	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	30.6	g	32.842	-117.258	A15_85_19		85	UCSDMI	TRUE	11548	A15.85.19	feces	mouse gut metagenome	male	410661		10 week IHC		RC	RC_AIR
11548.A15.85.2	A15.85.2	56.6	on shelf		A15	9/29/17 11:00	Mouse 85 stool collection 2 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	10.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	26.7	g	32.842	-117.258	A15_85_02		85	UCSDMI	TRUE	11548	A15.85.2	feces	mouse gut metagenome	male	410661		10 week IHC		RC	RC_AIR
11548.A15.85.20	A15.85.20	56.8	on shelf		A15	12/1/17 10:00	Mouse 85 stool collection 20 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	19.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	30.5	g	32.842	-117.258	A15_85_20		85	UCSDMI	TRUE	11548	A15.85.20	feces	mouse gut metagenome	male	410661		10 week IHC		RC	RC_AIR
11548.A15.85.3	A15.85.3	85.9	on shelf	put nyla bones in cage	A15	10/3/17 11:00	Mouse 85 stool collection 3 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	11	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	27.2	g	32.842	-117.258	A15_85_03		85	UCSDMI	TRUE	11548	a15.85.3	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.3.b	A15.85.3	85.9	on shelf	put nyla bones in cage	A15	10/3/17 11:00	Mouse 85 stool collection 3 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	11	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	27.2	g	32.842	-117.258	A15_85_03		85	UCSDMI	TRUE	11548	a15.85.3	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.4	A15.85.4	59.3	on shelf		A15	10/6/17 11:00	Mouse 85 stool collection 4 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	11.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	27.4	g	32.842	-117.258	A15_85_04		85	UCSDMI	TRUE	11548	a15.85.4	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.4.b	A15.85.4	59.3	on shelf		A15	10/6/17 11:00	Mouse 85 stool collection 4 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	11.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	27.4	g	32.842	-117.258	A15_85_04		85	UCSDMI	TRUE	11548	a15.85.4	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.5	A15.85.5	81	on shelf		A15	10/10/17 11:00	Mouse 85 stool collection 5 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	12	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	27.6	g	32.842	-117.258	A15_85_05		85	UCSDMI	TRUE	11548	A15.85.5	feces	mouse gut metagenome	male	410661		10 week IHC		RC	RC_AIR
11548.A15.85.6	A15.85.6	71.7	on shelf		A15	10/13/17 11:00	Mouse 85 stool collection 6 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	12.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	28.3	g	32.842	-117.258	A15_85_06		85	UCSDMI	TRUE	11548	A15.85.6	feces	mouse gut metagenome	male	410661		10 week IHC		RC	RC_AIR
11548.A15.85.7	A15.85.7	95.8	on shelf		A15	10/17/17 11:00	Mouse 85 stool collection 7 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR	orit only for sample collection	ApoE KO	USA:CA:San Diego	13	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	27.8	g	32.842	-117.258	A15_85_07		85	UCSDMI	TRUE	11548	a15.85.7	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.7.b	A15.85.7	95.8	on shelf		A15	10/17/17 11:00	Mouse 85 stool collection 7 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR	orit only for sample collection	ApoE KO	USA:CA:San Diego	13	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	27.8	g	32.842	-117.258	A15_85_07		85	UCSDMI	TRUE	11548	a15.85.7	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.8	A15.85.8	75.9	on shelf		A15	10/20/17 11:00	Mouse 85 stool collection 8 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	13.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	28.3	g	32.842	-117.258	A15_85_08		85	UCSDMI	TRUE	11548	a15.85.8	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.8.b	A15.85.8	75.9	on shelf		A15	10/20/17 11:00	Mouse 85 stool collection 8 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	13.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	28.3	g	32.842	-117.258	A15_85_08		85	UCSDMI	TRUE	11548	a15.85.8	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.9	A15.85.9	103.4	on shelf		A15	10/24/17 11:00	Mouse 85 stool collection 9 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	14	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	28.4	g	32.842	-117.258	A15_85_09		85	UCSDMI	TRUE	11548	a15.85.9	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.9.b	A15.85.9	103.4	on shelf		A15	10/24/17 11:00	Mouse 85 stool collection 9 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	14	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	28.4	g	32.842	-117.258	A15_85_09		85	UCSDMI	TRUE	11548	a15.85.9	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.plasma	A15.85.plasma	not provided	on shelf		A15	12/3/17 11:00	Portal vein blood/plasma collection for mouse 85	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal secretion	urban biome	animal-associated habitat	blood	host-associated	10 weeks	9/26/17	AIR	for metabolome only	ApoE KO	USA:CA:San Diego	20	weeks	uberon:blood	uberon:blood	uberon:blood	adult	Mus musculus	Mouse 85	10090	not provided	g	32.842	-117.258	A15_85_PLASMA		85	UCSDMI	TRUE	11548	a15.85.plasma	blood	blood metagenome	male	1676987	not provided	10 week IHC	not applicable	RC	RC_AIR
11548.A15.85.teeth	A15.85.teeth	not provided	on shelf		A15	12/3/17 11:00	Mouse 85 tooth collection at terminal point	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal corpus	urban biome	animal-associated habitat	organic material	host-associated	10 weeks	9/26/17	AIR	one tube for microbiome and metabolome	ApoE KO	USA:CA:San Diego	20	weeks	uberon:oral cavity	uberon:tooth	uberon:mouth	adult	Mus musculus	Mouse 85	10090	not provided	g	32.842	-117.258	A15_85_TEETH		85	UCSDMI	TRUE	11548	a15.85.teeth	tooth	oral metagenome	male	1227552	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.86.1	A15.86.1	not applicable	on shelf	fighting cage	A15	9/26/17 11:00	Mouse 86 baseline stool collection 1 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 86	10090	27	g	32.842	-117.258	A15_86_01		86	UCSDMI	TRUE	11548	a15.86.1	feces	mouse gut metagenome	male	410661		10 week IHC		RC	RC_AIR
11548.A15.86.10	A15.86.10	64	on shelf	started changing air cages 4x/wk 10/26/2017	A15	10/27/17 11:00	Mouse 86 stool collection 10 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	14.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 86	10090	27.9	g	32.842	-117.258	A15_86_10		86	UCSDMI	TRUE	11548	a15.86.10	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.86.10.b	A15.86.10	64	on shelf	started changing air cages 4x/wk 10/26/2017	A15	10/27/17 11:00	Mouse 86 stool collection 10 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	14.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 86	10090	27.9	g	32.842	-117.258	A15_86_10		86	UCSDMI	TRUE	11548	a15.86.10	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.86.11	A15.86.11	96.7	on shelf		A15	10/31/17 11:00	Mouse 86 stool collection 11 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	15	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 86	10090	28.2	g	32.842	-117.258	A15_86_11		86	UCSDMI	TRUE	11548	a15.86.11	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.86.11.b	A15.86.11	96.7	on shelf		A15	10/31/17 11:00	Mouse 86 stool collection 11 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	15	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 86	10090	28.2	g	32.842	-117.258	A15_86_11		86	UCSDMI	TRUE	11548	a15.86.11	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.86.12	A15.86.12	64.7	on shelf		A15	11/3/17 11:00	Mouse 86 stool collection 12 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	15.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 86	10090	28.2	g	32.842	-117.258	A15_86_12		86	UCSDMI	TRUE	11548	a15.86.12	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.86.12.b	A15.86.12	64.7	on shelf		A15	11/3/17 11:00	Mouse 86 stool collection 12 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	15.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 86	10090	28.2	g	32.842	-117.258	A15_86_12		86	UCSDMI	TRUE	11548	a15.86.12	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.86.13	A15.86.13	94.4	on shelf		A15	11/7/17 11:00	Mouse 86 stool collection 13 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	16	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 86	10090	28.2	g	32.842	-117.258	A15_86_13		86	UCSDMI	TRUE	11548	A15.86.13	feces	mouse gut metagenome	male	410661		10 week IHC		RC	RC_AIR
11548.A15.86.14	A15.86.14	69	on shelf		A15	11/7/17 11:00	Mouse 86 stool collection 14 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	16.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 86	10090	28.4	g	32.842	-117.258	A15_86_14		86	UCSDMI	TRUE	11548	A15.86.14	feces	mouse gut metagenome	male	410661		10 week IHC		RC	RC_AIR
11548.A15.86.15	A15.86.15	95.8	on shelf		A15	11/14/17 11:00	Mouse 86 stool collection 15 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	17	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 86	10090	28.4	g	32.842	-117.258	A15_86_15		86	UCSDMI	TRUE	11548	A15.86.15	feces	mouse gut metagenome	male	410661		10 week IHC		RC	RC_AIR
11548.A15.86.16	A15.86.16	75.4	on shelf		A15	11/17/17 11:00	Mouse 86 stool collection 16 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	17.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 86	10090	28.8	g	32.842	-117.258	A15_86_16		86	UCSDMI	TRUE	11548	A15.86.16	feces	mouse gut metagenome	male	410661		10 week IHC		RC	RC_AIR
11548.A15.86.17	A15.86.17	88.7	on shelf		A15	11/21/17 11:00	Mouse 86 stool collection 17 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	18	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 86	10090	29.4	g	32.842	-117.258	A15_86_17		86	UCSDMI	TRUE	11548	a15.86.17	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.86.17.b	A15.86.17	88.7	on shelf		A15	11/21/17 11:00	Mouse 86 stool collection 17 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	18	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 86	10090	29.4	g	32.842	-117.258	A15_86_17		86	UCSDMI	TRUE	11548	a15.86.17	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
