Feature_ID,VIP,Group_Contribution,mz,RT,Correlation_ID,Spectrum_ID,Compound_Name,Adduct,Putative_BA
29177,2.756,IHC,544.3417,5.026,145,CCMSLIB00010099317,PC(0:0/20:4); [M+H]+ C28H51N1O7P1,M+H,NA
32796,2.745,IHC,352.2487,5.647,33,NA,NA,NA,NA
19732,2.742,IHC,518.3008,3.060,NA,NA,NA,NA,NA
32780,2.742,IHC,398.2541,5.645,33,NA,NA,NA,NA
20406,2.742,IHC,480.2781,3.080,465,CCMSLIB00010225853,"""Candidate Trihydroxylated bile acid (delta mass 70.9836; buddy atomic difference: 6C, -7H, 5N, -4O; spectral library match to CCMSLIB00005465016, """"2-((4R)-4-((3R,5R,6S,7R,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid"""")""",M+H,Trihydroxylated bile acid_taurine [M-2H2O+H]+
29671,2.735,AIR,411.3613,5.134,NA,CCMSLIB00012718076,Candidate Lysine-C18:1 (delta mass:264.2493),M+H,NA
32897,2.734,IHC,357.3191,5.652,294,NA,NA,NA,NA
20845,2.716,IHC,538.2828,3.104,465,CCMSLIB00003134637,Spectral Match to Taurocholic acid from NIST14,M+Na,NA
31079,2.708,AIR,283.2635,5.392,0,CCMSLIB00003136765,Spectral Match to Elaidic acid from NIST14,M+H,NA
23627,2.706,IHC,498.2891,3.715,82,CCMSLIB00010224299,"""Candidate Trihydroxylated bile acid (delta mass 88.9937; sirius atomic difference: 2C, 3H, 1N, 1O, 1S; spectral library match to CCMSLIB00005465658, """"2-((4R)-4-((3R,5R,6S,7R,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid"""")""",M+H,Trihydroxylated bile acid_taurine [M-H2O+H]+
29162,2.702,IHC,542.3245,4.996,145,CCMSLIB00006678146,Lyso PC (20:5),M+H,NA
32279,2.701,IHC,388.2861,5.593,NA,NA,NA,NA,NA
18378,2.700,AIR,519.3123,2.754,284,NA,NA,NA,NA
31324,2.700,AIR,299.2584,5.443,NA,NA,NA,NA,NA
33246,2.693,IHC,400.2488,5.586,29,NA,NA,NA,NA
32202,2.685,IHC,386.2696,5.579,29,NA,NA,NA,NA
18400,2.674,AIR,502.2849,2.717,284,NA,NA,NA,NA
32820,2.673,IHC,338.2694,5.649,33,CCMSLIB00010255116,"""Candidate Dihydroxylated bile acid (delta mass -55.0308; sirius atomic difference: -4C, -5H, 1N, -1O; buddy atomic difference: -4C, -5H, 1N, -1O)""",M+H,NA
31083,2.672,AIR,265.2528,5.395,0,CCMSLIB00003139895,"Spectral Match to 9-Octadecenamide, (Z)- from NIST14",M+H-NH3,NA
26772,2.670,IHC,466.2979,4.472,64,CCMSLIB00010227600,"""Candidate Monohydroxylated bile acid (delta mass 88.9936; sirius atomic difference: 2C, 3H, 1N, 1O, 1S; buddy atomic difference: 2C, 3H, 1N, 1O, 1S; spectral library match to CCMSLIB00005435589, taurolithocholic acid)""",M+H,Monohydroxylated bile acid_taurine [M-H2O+H]+
32960,2.668,AIR,297.2791,5.668,NA,CCMSLIB00003134803,Spectral Match to Phytomonic acid from NIST14,M+H,NA
30735,2.665,AIR,211.2062,5.335,484,CCMSLIB00003136183,"Spectral Match to (Z,E)-Tetradeca-9,12-dienol from NIST14",M+H,NA
26768,2.662,IHC,484.3100,4.481,64,CCMSLIB00010225038,"""Candidate Monohydroxylated bile acid (delta mass 107.0047; sirius atomic difference: 2C, 5H, 1N, 2O, 1S; buddy atomic difference: 2C, 5H, 1N, 2O, 1S; spectral library match to CCMSLIB00006680098, TAUROLITHOCHOLIC ACID)""",M+H,Monohydroxylated bile acid_taurine [M+H]+
29863,2.658,AIR,197.1908,5.178,484,NA,NA,NA,NA
10600,2.653,IHC,308.1599,1.611,588,NA,NA,NA,NA
30054,2.651,AIR,281.2479,5.218,26,CCMSLIB00000567923,MoNA:790553 Linoleic acid,[M+H]+,NA
33139,2.648,IHC,370.3320,5.711,414,CCMSLIB00012717623,Candidate Leucine-C16:0 (delta mass:238.2298),M+H,NA
29092,2.648,IHC,502.2928,5.004,NA,NA,NA,NA,NA
32775,2.647,IHC,393.2755,5.644,33,CCMSLIB00010238910,"""Candidate Dihydroxylated bile acid (delta mass -0.0244; sirius atomic difference: -2C, -4H, 2N; buddy atomic difference: -2C, -4H, 2N)""",M+H,NA
23126,2.645,AIR,403.2491,3.621,NA,NA,NA,NA,NA
32534,2.642,IHC,362.2695,5.615,128,NA,NA,NA,NA
33036,2.641,IHC,339.2726,5.651,33,CCMSLIB00010251234,"""Candidate Dihydroxylated bile acid (delta mass -54.0273; sirius atomic difference: -6C, -6H, 4N, -2O; buddy atomic difference: -6C, -6H, 4N, -2O)""",M+H,NA
29991,2.640,AIR,422.3267,5.202,526,CCMSLIB00010234463,"""Candidate Trihydroxylated bile acid (delta mass 13.0326; sirius atomic difference: 1C, 3H, 1N, -1O; buddy atomic difference: 1C, 3H, 1N, -1O)""",M+H,NA
32840,2.638,IHC,356.3167,5.646,294,CCMSLIB00012717521,Candidate Valine-C16:0 (delta mass:238.2303),M+H,NA
31104,2.638,AIR,324.2900,5.397,415,NA,NA,NA,NA
29293,2.634,AIR,540.3704,5.052,NA,CCMSLIB00006584297,Phe-DCA,M+H,NA
29459,2.634,IHC,454.2935,5.085,NA,CCMSLIB00003139689,Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14,M+H,NA
26665,2.630,AIR,302.2154,4.491,NA,NA,NA,NA,NA
33220,2.627,IHC,401.3422,5.717,NA,NA,NA,NA,NA
25520,2.622,AIR,423.2741,4.174,NA,NA,NA,NA,NA
26777,2.620,IHC,501.3361,4.459,64,CCMSLIB00010223908,"""Candidate Monohydroxylated bile acid (delta mass 124.0313; sirius atomic difference: 2C, 8H, 2N, 2O, 1S; buddy atomic difference: 6C, 6N, -2O)""",M+H,NA
33179,2.618,IHC,371.3351,5.712,414,NA,NA,NA,NA
32528,2.617,IHC,376.2487,5.617,128,NA,NA,NA,NA
22262,2.617,IHC,500.3047,3.467,181,CCMSLIB00010224013,"""Candidate Dihydroxylated bile acid (delta mass 107.0035; buddy atomic difference: 6C, -3H, 5N, -2O; spectral library match to CCMSLIB00005435567, taurodeoxycholic acid)""",M+H,Dihydroxylated bile acid_4-methyl-5-thiazoleethanol [M-H2O+H]+
31081,2.616,AIR,301.2741,5.391,0,NA,NA,NA,NA
28962,2.611,IHC,478.2935,4.979,NA,NA,NA,NA,NA
24191,2.606,AIR,412.3062,3.899,NA,CCMSLIB00010235332,"""Candidate Trihydroxylated bile acid (delta mass 3.012; sirius atomic difference: 2C, -1H, 2N, -3O; buddy atomic difference: -1C, 1H, 1N)""",M+H,NA
30197,2.600,AIR,263.2373,5.245,26,CCMSLIB00003136115,"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14",M+H-H2O,NA
27060,2.596,AIR,387.2909,4.537,NA,CCMSLIB00010242787,"""Candidate Tetrahydroxylated bile acid (delta mass -38.0002; sirius atomic difference: 1C, -2H, -3O; buddy atomic difference: 1C, -2H, -3O)""",M+H,NA
29150,2.595,IHC,520.3418,5.018,145,CCMSLIB00005747189,Massbank:PR310844 LPC 18:2,M+H,NA
19341,2.594,AIR,330.1737,2.931,NA,NA,NA,NA,NA
29479,2.590,IHC,949.6275,5.095,NA,NA,NA,NA,NA
29142,2.588,AIR,506.3864,5.022,532,CCMSLIB00010223777,"""Candidate Dihydroxylated bile acid (delta mass 113.0848; sirius atomic difference: 6C, 11H, 1N, 1O; buddy atomic difference: 6C, 11H, 1N, 1O; spectral library match to CCMSLIB00006582097, Ile/Leu-DCA; putative explanation: leucine/isoleucine)""",M+H,Dihydroxylated bile acid_triethanolamine [M-H2O+H]+
30165,2.582,AIR,299.2584,5.249,NA,NA,NA,NA,NA
23399,2.577,AIR,384.2753,3.772,NA,NA,NA,NA,NA
1070,2.573,IHC,148.0043,0.246,188,NA,NA,NA,NA
30593,2.571,AIR,247.2423,5.323,0,NA,NA,NA,NA
16164,2.568,AIR,322.1322,2.411,433,NA,NA,NA,NA
32952,2.562,IHC,388.2864,5.648,NA,NA,NA,NA,NA
28449,2.561,IHC,318.3006,4.866,792,CCMSLIB00003139655,Spectral Match to Phytosphingosine from NIST14,M+H,NA
23170,2.561,IHC,515.3178,3.603,82,CCMSLIB00010223461,"""Candidate Dihydroxylated bile acid (delta mass 122.0168; sirius atomic difference: 2C, 6H, 2N, 2O, 1S)""",M+H,NA
20377,2.549,IHC,554.2460,3.100,465,NA,NA,NA,NA
30458,2.547,AIR,303.2323,5.167,NA,NA,NA,NA,NA
28067,2.546,AIR,298.2743,4.789,NA,NA,NA,NA,NA
25704,2.543,AIR,376.2152,4.209,77,CCMSLIB00010243421,"""Candidate Dihydroxylated bile acid (delta mass -17.0844; sirius atomic difference: -6C, -7H, 1N, 1O, 1S)""",M+H,NA
24111,2.536,AIR,482.3293,3.963,NA,CCMSLIB00010225137,"""Candidate Dihydroxylated bile acid (delta mass 89.0305; sirius atomic difference: 3C, 7H, 1N, 1S; buddy atomic difference: 3C, 7H, 1N, 1S)""",M+H,Dihydroxylated bile acid_tryptophol [M-3H2O+H]+
28764,2.534,IHC,494.3242,4.929,NA,CCMSLIB00010055762,PC(16:1/0:0); [M+H]+ C24H49N1O7P1,M+H,NA
24169,2.533,IHC,464.2827,3.864,NA,CCMSLIB00010228764,"""Candidate Dihydroxylated bile acid (delta mass 70.9801; buddy atomic difference: 5C, -3H, 1N; spectral library match to CCMSLIB00005435583, taurohyodeoxycholic acid)""",M+H,Dihydroxylated bile acid_taurine [M-2H2O+H]+
23345,2.529,AIR,506.2802,3.650,107,CCMSLIB00010223811,"""Candidate Trihydroxylated bile acid (delta mass 96.9834; sirius atomic difference: 3C, -1H, 1N, 3O; buddy atomic difference: 4C, -5H, 5N, -1O; spectral library match to CCMSLIB00010123244, Candidate sulfated cholic acid)""",M+H,NA
28765,2.526,IHC,908.6002,4.929,NA,NA,NA,NA,NA
16305,2.526,AIR,253.1051,2.480,NA,NA,NA,NA,NA
21082,2.521,IHC,531.3121,3.192,NA,CCMSLIB00010222793,"""Candidate Trihydroxylated bile acid (delta mass 122.0175; sirius atomic difference: 2C, 6H, 2N, 2O, 1S; buddy atomic difference: 2C, 6H, 2N, 2O, 1S)""",M+H,Trihydroxylated bile acid_allantoin [M-H2O+H]+
20842,2.520,AIR,317.2115,3.184,NA,NA,NA,NA,NA
37129,2.511,IHC,165.0912,6.925,215,NA,NA,NA,NA
37139,2.510,IHC,445.3681,6.937,215,NA,NA,NA,NA
16657,2.509,IHC,532.2963,2.467,NA,CCMSLIB00010222748,"""Candidate Tetrahydroxylated bile acid (delta mass 107.0057; sirius atomic difference: 2C, 5H, 1N, 2O, 1S; buddy atomic difference: 11C, -3H, 3N, -4O)""",M+H,Tetrahydroxylated bile acid_4-methyl-5-thiazoleethanol [M-H2O+H]+
31141,2.506,AIR,325.2933,5.398,415,NA,NA,NA,NA
31093,2.496,AIR,396.2203,5.394,0,NA,NA,NA,NA
26968,2.494,AIR,402.2313,4.513,598,CCMSLIB00010238721,Candidate Tetrahydroxylated bile acid (delta mass -23.0597),M+H,NA
32659,2.492,IHC,394.3318,5.631,NA,CCMSLIB00012717857,Candidate Leucine-C18:2 (delta mass:262.2301),M+H,NA
23485,2.485,AIR,572.3583,3.753,NA,CCMSLIB00006583718,Tyr-bMCA,M+H,NA
28864,2.484,AIR,468.3683,4.948,707,NA,NA,NA,NA
18694,2.481,IHC,550.3263,2.793,NA,NA,NA,NA,NA
29795,2.479,IHC,480.3093,5.153,NA,CCMSLIB00010225727,"""Candidate Trihydroxylated bile acid (delta mass 71.0132; sirius atomic difference: -1C, 6H, 1N, 2O, 1P; buddy atomic difference: -1C, 6H, 1N, 2O, 1P)""",M+H,Trihydroxylated bile acid_4-methyl-5-thiazoleethanol [M-3H2O+H]+
23637,2.478,IHC,480.2776,3.730,NA,CCMSLIB00010225961,"""Candidate Trihydroxylated bile acid (delta mass 70.9832; ; spectral library match to CCMSLIB00005465016, """"2-((4R)-4-((3R,5R,6S,7R,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid"""")""",M+H,Trihydroxylated bile acid_taurine [M-2H2O+H]+
20827,2.470,AIR,472.2445,3.181,NA,NA,NA,NA,NA
36484,2.469,IHC,416.3651,6.688,551,NA,NA,NA,NA
2253,2.469,IHC,257.1157,0.382,NA,NA,NA,NA,NA
13587,2.467,AIR,336.1660,2.040,517,NA,NA,NA,NA
24362,2.460,IHC,908.5928,3.930,NA,CCMSLIB00010217768,"""Candidate Dihydroxylated bile acid (delta mass 515.2909; sirius atomic difference: 25C, 37H, 7N, 5O; buddy atomic difference: 30C, 37H, 5N, 3O)""",M+H,NA
28155,2.460,AIR,404.2469,4.804,NA,CCMSLIB00010238674,"""Candidate Trihydroxylated bile acid (delta mass -5.0498; buddy atomic difference: -4C, -3H, 1N, 1S)""",M+H,NA
15893,2.459,AIR,348.1843,2.376,NA,NA,NA,NA,NA
32918,2.458,IHC,414.3035,5.653,294,CCMSLIB00012718092,Candidate Methionine-C18:1 (delta mass:264.245),M+H,NA
20966,2.451,IHC,514.2856,3.215,NA,CCMSLIB00010223537,"""Candidate Tetrahydroxylated bile acid (delta mass 88.9945; sirius atomic difference: 2C, 3H, 1N, 1O, 1S; buddy atomic difference: 11C, -5H, 3N, -5O)""",M+H,Tetrahydroxylated bile acid_4-methyl-5-thiazoleethanol [M-2H2O+H]+
976,2.448,IHC,237.9736,0.239,188,NA,NA,NA,NA
30049,2.448,AIR,405.3004,5.215,526,CCMSLIB00010238118,"""Candidate Trihydroxylated bile acid (delta mass -3.9946; sirius atomic difference: 1C, -1O; buddy atomic difference: 1C, -1O)""",M+H,NA
33419,2.448,IHC,677.5500,5.765,NA,NA,NA,NA,NA
33448,2.447,IHC,341.2883,5.771,128,CCMSLIB00010250705,"""Candidate Monohydroxylated bile acid (delta mass -36.0169; sirius atomic difference: -6C, -4H, 4N, -1O; buddy atomic difference: -3C, -2O, 1S)""",M+H,NA
29884,2.447,AIR,179.1799,5.179,484,NA,NA,NA,NA
23346,2.446,AIR,408.3111,3.661,107,CCMSLIB00010235985,"""Candidate Trihydroxylated bile acid (delta mass -0.982; sirius atomic difference: 1H, 1N, -1O; buddy atomic difference: 1H, 1N, -1O)""",M+H,NA
1377,2.443,IHC,126.0224,0.270,NA,NA,NA,NA,NA
3422,2.441,AIR,385.1727,0.556,NA,NA,NA,NA,NA
27826,2.440,AIR,303.2326,4.710,NA,NA,NA,NA,NA
32766,2.439,IHC,404.3165,5.685,285,CCMSLIB00012718047,Candidate Phenylalanine-C16:0 (delta mass:238.2332),M+H,NA
17072,2.438,IHC,549.3228,2.541,NA,NA,NA,NA,NA
2083,2.438,IHC,227.1027,0.366,NA,NA,NA,NA,NA
31623,2.431,AIR,269.2478,5.485,NA,CCMSLIB00003137270,Spectral Match to cis-7-Hexadecenoic acid methyl ester from NIST14,M+H,NA
37115,2.429,IHC,486.3944,6.927,215,NA,NA,NA,NA
33463,2.427,IHC,422.2541,5.633,128,NA,NA,NA,NA
36352,2.426,IHC,383.3313,6.664,NA,CCMSLIB00004717422,"Cholest-4,6-Dien-3-One",[M+H]+,NA
33487,2.425,IHC,356.2800,5.771,128,CCMSLIB00010248545,"""Candidate Dihydroxylated bile acid (delta mass -37.0199; sirius atomic difference: -4C, -3H, 1N; buddy atomic difference: -4C, -3H, 1N)""",M+H,NA
28773,2.420,IHC,516.3074,4.931,NA,NA,NA,NA,NA
21280,2.417,IHC,517.3338,3.399,NA,CCMSLIB00010223241,"""Candidate Dihydroxylated bile acid (delta mass 124.0319; buddy atomic difference: 5C, 4H, 2N, 2O; spectral library match to CCMSLIB00006680044, TAUROURSODEOXYCHOLIC ACID)""",M+H,NA
28215,2.416,IHC,492.3083,4.805,NA,NA,NA,NA,NA
21926,2.416,AIR,510.3452,3.407,125,CCMSLIB00006583780,Thr-bMCA,M+H,NA
37131,2.414,IHC,431.3836,6.936,215,CCMSLIB00003135122,Spectral Match to (+)-.alpha.-Tocopherol from NIST14,M+H,NA
37121,2.413,IHC,432.3872,6.929,215,NA,NA,NA,NA
33924,2.411,IHC,398.3635,5.841,NA,CCMSLIB00010010791,Leu-C18:0,M+H,NA
33490,2.408,IHC,340.2850,5.771,128,NA,NA,NA,NA
13915,2.408,IHC,302.1503,2.095,NA,CCMSLIB00005788046,Trp-Pro,M+H,NA
32819,2.404,IHC,369.2754,5.651,33,NA,NA,NA,NA
23305,2.403,AIR,568.2257,3.651,107,NA,NA,NA,NA
30334,2.401,AIR,199.1702,5.317,0,CCMSLIB00010119146,12-Hydroxydodecanoic acid CollisionEnergy:205060,M+H-H2O,NA
29955,2.400,AIR,447.3833,5.249,589,NA,NA,NA,NA
25397,2.396,IHC,491.2317,4.137,253,NA,NA,NA,NA
13597,2.394,AIR,319.1396,2.052,517,NA,NA,NA,NA
28251,2.393,IHC,468.3084,4.822,693,CCMSLIB00003136632,Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14,M+H,NA
26375,2.392,AIR,421.2587,4.369,NA,NA,NA,NA,NA
35605,2.391,AIR,582.5463,6.420,NA,NA,NA,NA,NA
24407,2.391,AIR,301.2166,3.927,NA,NA,NA,NA,NA
24742,2.390,AIR,482.3292,4.041,NA,CCMSLIB00010225154,"""Candidate Trihydroxylated bile acid (delta mass 73.0351; sirius atomic difference: 3C, 7H, 1N, -1O, 1S; buddy atomic difference: 3C, 7H, 1N, -1O, 1S)""",M+H,NA
37103,2.389,IHC,448.3858,6.924,215,NA,NA,NA,NA
27833,2.385,AIR,304.2312,4.720,NA,NA,NA,NA,NA
10425,2.384,AIR,319.1292,1.615,NA,NA,NA,NA,NA
20434,2.383,IHC,514.2853,3.131,NA,CCMSLIB00010223513,"""Candidate Tetrahydroxylated bile acid (delta mass 88.9964; sirius atomic difference: 2C, 3H, 1N, 1O, 1S; buddy atomic difference: 11C, -5H, 3N, -5O)""",M+H,NA
29695,2.382,IHC,570.3554,5.100,NA,NA,NA,NA,NA
22197,2.377,AIR,368.2799,3.554,NA,NA,NA,NA,NA
1127,2.375,AIR,123.0407,0.261,332,NA,NA,NA,NA
33465,2.373,IHC,395.2911,5.769,128,CCMSLIB00010238869,"""Candidate Monohydroxylated bile acid (delta mass 17.9862; sirius atomic difference: -2C, -2H, 2N, 1O; buddy atomic difference: -2C, -2H, 2N, 1O)""",M+H,NA
32769,2.372,IHC,411.2865,5.633,33,NA,NA,NA,NA
15709,2.370,IHC,126.0224,2.272,NA,NA,NA,NA,NA
1030,2.368,IHC,169.9862,0.242,188,NA,NA,NA,NA
22322,2.365,IHC,538.2831,3.457,97,CCMSLIB00003139049,Spectral Match to Taurocholic acid from NIST14,M+Na,NA
24225,2.365,IHC,482.2940,3.880,NA,CCMSLIB00010225311,"""Candidate Dihydroxylated bile acid (delta mass 88.9932; buddy atomic difference: 6C, -5H, 5N, -3O; spectral library match to CCMSLIB00005465556, """"2-((4R)-4-((3R,5R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid"""")""",M+H,Dihydroxylated bile acid_taurine [M-H2O+H]+
28425,2.362,AIR,524.3412,4.873,805,CCMSLIB00006584393,Met-DCA,M+H,NA
35699,2.361,IHC,448.3915,6.447,NA,NA,NA,NA,NA
17728,2.359,AIR,520.3143,2.709,NA,NA,NA,NA,NA
28235,2.354,IHC,490.2904,4.820,693,CCMSLIB00003134546,Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14,M+Na,NA
2513,2.352,AIR,190.1081,0.399,NA,NA,NA,NA,NA
30994,2.347,AIR,389.2691,5.263,NA,NA,NA,NA,NA
18576,2.339,IHC,549.3227,2.825,NA,CCMSLIB00010222154,"""Candidate Tetrahydroxylated bile acid (delta mass 124.0312; sirius atomic difference: 2C, 8H, 2N, 2O, 1S; buddy atomic difference: 11C, 4N, -4O)""",M+H,"Tetrahydroxylated bile acid_2-propenoic acid, 3-(3-methoxyphenyl)- [M-2H2O+H]+"
28509,2.337,IHC,518.3250,4.903,NA,CCMSLIB00010091589,PC(18:3/0:0); [M+H]+ C26H49N1O7P1,M+H,NA
1500,2.336,IHC,144.0283,0.283,NA,NA,NA,NA,NA
28939,2.333,IHC,504.3068,5.001,278,CCMSLIB00003135141,Spectral Match to 1-Pentadecanoyl-sn-glycero-3-phosphocholine from NIST14,M+Na,NA
26974,2.331,IHC,499.3210,4.466,NA,CCMSLIB00010224052,"""Candidate Dihydroxylated bile acid (delta mass 106.0198; buddy atomic difference: 2C, 6H, 2N, 1O, 1S)""",M+H,NA
19649,2.330,AIR,381.2275,3.038,NA,NA,NA,NA,NA
29656,2.329,AIR,429.3733,5.136,589,NA,NA,NA,NA
30975,2.327,AIR,445.2587,5.373,NA,NA,NA,NA,NA
29860,2.326,AIR,123.1172,5.188,484,NA,NA,NA,NA
14067,2.323,IHC,212.1286,2.127,NA,NA,NA,NA,NA
22905,2.322,AIR,514.3219,3.570,NA,CCMSLIB00010223492,"""Candidate Trihydroxylated bile acid (delta mass 105.0261; sirius atomic difference: 3C, 7H, 1N, 1O, 1S; buddy atomic difference: 3C, 7H, 1N, 1O, 1S)""",M+H,NA
30477,2.321,IHC,536.3727,5.305,NA,CCMSLIB00010094317,PC(19:1/0:0); [M+H]+ C27H55N1O7P1,M+H,NA
31043,2.319,AIR,140.0687,5.320,NA,NA,NA,NA,NA
1362,2.318,AIR,151.0355,0.265,332,NA,NA,NA,NA
33089,2.316,IHC,424.2700,5.697,285,NA,NA,NA,NA
27204,2.312,AIR,254.2481,4.573,844,NA,NA,NA,NA
37117,2.312,IHC,463.3782,6.923,215,NA,NA,NA,NA
28972,2.308,IHC,482.3251,4.979,278,CCMSLIB00003138155,Spectral Match to 1-Pentadecanoyl-sn-glycero-3-phosphocholine from NIST14,M+H,NA
29335,2.306,IHC,508.3415,5.061,NA,CCMSLIB00010056244,PC(17:1/0:0); [M+H]+ C25H51N1O7P1,M+H,NA
37206,2.305,IHC,554.4781,6.951,NA,NA,NA,NA,NA
5779,2.305,IHC,286.1767,1.069,NA,NA,NA,NA,NA
23260,2.302,AIR,425.2892,3.624,NA,CCMSLIB00010233968,"""Candidate Tetrahydroxylated bile acid (delta mass -0.0005; sirius atomic difference:; buddy atomic difference: ; spectral library match to CCMSLIB00005465094, """"(4R)-4-((3R,5S,6R,7R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"""")""",M+H,NA
36347,2.298,IHC,580.5303,6.651,667,NA,NA,NA,NA
19930,2.298,AIR,371.2603,3.059,NA,CCMSLIB00010246546,"""Candidate Tetrahydroxylated bile acid (delta mass -54.0306; sirius atomic difference: -6H, -3O; buddy atomic difference: -6H, -3O)""",M+H,NA
10449,2.298,IHC,286.1767,1.628,NA,NA,NA,NA,NA
20058,2.294,IHC,879.4429,3.019,NA,CCMSLIB00010217928,"""Candidate Trihydroxylated bile acid (delta mass 470.147; sirius atomic difference: 26C, 22H, 4N, 3O, 1S; buddy atomic difference: 28C, 18H, 6N, 2O)""",M+H,NA
30021,2.292,IHC,468.3090,5.213,NA,NA,NA,NA,NA
24607,2.292,AIR,396.1835,3.982,NA,NA,NA,NA,NA
29221,2.289,AIR,473.3259,4.943,692,NA,NA,NA,NA
28421,2.278,AIR,397.3121,4.919,NA,NA,NA,NA,NA
30122,2.277,AIR,282.2513,5.242,26,NA,NA,NA,NA
22791,2.276,IHC,522.2874,3.533,181,CCMSLIB00003138802,Spectral Match to Tauroursodeoxycholic acid from NIST14,M+Na,NA
33481,2.269,IHC,371.2910,5.770,128,NA,NA,NA,NA
31252,2.268,AIR,373.3114,5.433,NA,NA,NA,NA,NA
17266,2.265,AIR,350.1629,2.566,NA,NA,NA,NA,NA
15357,2.260,AIR,356.1533,2.301,433,NA,NA,NA,NA
32838,2.258,IHC,402.2649,5.648,NA,NA,NA,NA,NA
22160,2.258,AIR,353.2496,3.449,119,CCMSLIB00010249542,"""Candidate Tetrahydroxylated bile acid (delta mass -72.0408; sirius atomic difference: -8H, -4O; buddy atomic difference: -8H, -4O)""",M+H,NA
22798,2.257,AIR,504.2632,3.559,675,NA,NA,NA,NA
1802,2.257,AIR,191.1033,0.306,NA,NA,NA,NA,NA
31848,2.255,IHC,566.3505,5.516,785,NA,NA,NA,NA
11957,2.253,IHC,560.2936,1.865,NA,NA,NA,NA,NA
9726,2.252,AIR,234.1340,1.571,NA,NA,NA,NA,NA
23429,2.252,IHC,520.2730,3.657,NA,NA,NA,NA,NA
