Feature_ID,VIP,Group_Contribution,mz,RT,Correlation_ID,Spectrum_ID,Compound_Name,Adduct,Putative_BA
25901,1.812,Regular chow,367.2464,4.390,54,NA,NA,NA,NA
27391,1.812,Regular chow,261.2216,4.612,59,CCMSLIB00005722220,NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid [IIN-based on: CCMSLIB00000846585],[M-3H2O+H]+,NA
7218,1.811,Regular chow,245.1605,1.203,NA,NA,NA,NA,NA
30627,1.811,High Fat Diet,390.2661,5.278,NA,CCMSLIB00003136462,Spectral Match to N-Oleoyltaurine from NIST14,M+H,NA
30066,1.811,Regular chow,476.3016,5.216,26,NA,NA,NA,NA
29178,1.810,High Fat Diet,283.2828,4.997,164,NA,NA,NA,NA
28405,1.810,High Fat Diet,434.3632,4.866,268,CCMSLIB00010231737,"""Candidate Monohydroxylated bile acid (delta mass 57.055; sirius atomic difference: 3C, 7H, 1N; buddy atomic difference: 3C, 7H, 1N)""",M+H,Monohydroxylated bile acid_histamine [M-2H2O+H]+
25396,1.809,High Fat Diet,276.1997,4.140,276,NA,NA,NA,NA
20165,1.809,Regular chow,349.2588,3.000,410,NA,NA,NA,NA
17629,1.809,High Fat Diet,385.1434,2.641,163,NA,NA,NA,NA
9938,1.809,Regular chow,398.2404,1.599,226,NA,NA,NA,NA
6657,1.808,Regular chow,138.0556,1.051,NA,NA,NA,NA,NA
32936,1.808,High Fat Diet,390.3088,5.670,NA,NA,NA,NA,NA
26388,1.808,Regular chow,485.3273,4.349,100,CCMSLIB00010225000,"""Candidate Trihydroxylated bile acid (delta mass 76.0308; sirius atomic difference: 6C, 4H; buddy atomic difference: 6C, 4H)""",M+H,Trihydroxylated bile acid_sorbic acid [M-H2O+H]+
19088,1.807,Regular chow,348.1451,2.852,255,NA,NA,NA,NA
19028,1.807,High Fat Diet,400.2709,2.886,NA,NA,NA,NA,NA
31423,1.807,High Fat Diet,568.3684,5.493,436,NA,NA,NA,NA
21309,1.807,Regular chow,391.2102,3.317,NA,NA,NA,NA,NA
24039,1.807,Regular chow,289.2377,3.865,122,NA,NA,NA,NA
31083,1.806,High Fat Diet,265.2528,5.395,0,CCMSLIB00003139895,"Spectral Match to 9-Octadecenamide, (Z)- from NIST14",M+H-NH3,NA
22405,1.806,High Fat Diet,597.2886,3.513,NA,CCMSLIB00010221284,Candidate Dihydroxylated bile acid (delta mass 203.9885),M+H,"Dihydroxylated bile acid_3,5-dihydroxy-4-methoxybenzoic acid [M+K]+"
31317,1.806,Regular chow,307.2271,5.449,NA,NA,NA,NA,NA
19866,1.805,Regular chow,363.2379,2.992,199,NA,NA,NA,NA
30231,1.805,High Fat Diet,364.2518,5.232,NA,CCMSLIB00012717553,Candidate Taurine-C16:0 (delta mass:238.2304),M+H,NA
10295,1.805,Regular chow,217.0976,1.643,588,CCMSLIB00006673501,3S_2349_Tetrahydro_1h_pyrido_34b_indole_carboxylic_acid,M+H,NA
18251,1.804,Regular chow,334.1656,2.728,567,NA,NA,NA,NA
33153,1.804,High Fat Diet,463.3779,5.711,414,NA,NA,NA,NA
3949,1.803,Regular chow,224.0555,0.600,16,NA,NA,NA,NA
12190,1.803,Regular chow,368.7033,1.868,336,NA,NA,NA,NA
19653,1.802,Regular chow,468.3072,2.972,NA,CCMSLIB00010011040,His-C22:5,M+H,NA
19328,1.802,Regular chow,251.1645,2.916,NA,NA,NA,NA,NA
19389,1.801,High Fat Diet,616.2233,2.945,387,CCMSLIB00010220708,Candidate Trihydroxylated bile acid (delta mass 206.9096),M+H,NA
33995,1.800,High Fat Diet,165.0911,5.875,111,NA,NA,NA,NA
20978,1.800,High Fat Diet,348.2174,3.357,260,NA,NA,NA,NA
30122,1.800,Regular chow,282.2513,5.242,26,NA,NA,NA,NA
31487,1.800,Regular chow,482.4018,5.521,137,NA,NA,NA,NA
22160,1.800,High Fat Diet,353.2496,3.449,119,CCMSLIB00010249542,"""Candidate Tetrahydroxylated bile acid (delta mass -72.0408; sirius atomic difference: -8H, -4O; buddy atomic difference: -8H, -4O)""",M+H,NA
21325,1.799,High Fat Diet,364.1790,3.278,NA,NA,NA,NA,NA
19979,1.799,Regular chow,329.2324,3.035,NA,NA,NA,NA,NA
30977,1.798,Regular chow,372.2903,5.378,NA,NA,NA,NA,NA
1038,1.798,Regular chow,219.0267,0.243,417,NA,NA,NA,NA
19528,1.797,High Fat Diet,594.2408,2.952,387,CCMSLIB00010221464,Candidate Tetrahydroxylated bile acid (delta mass 168.9498),M+H,NA
25867,1.797,High Fat Diet,546.3118,4.233,NA,NA,NA,NA,NA
27398,1.797,Regular chow,123.1172,4.607,59,NA,NA,NA,NA
11401,1.796,Regular chow,344.2267,1.778,500,NA,NA,NA,NA
33685,1.795,High Fat Diet,427.3576,5.711,414,NA,NA,NA,NA
14530,1.795,High Fat Diet,154.0866,2.165,NA,NA,NA,NA,NA
15157,1.795,Regular chow,243.1231,2.267,670,NA,NA,NA,NA
2252,1.794,Regular chow,159.1494,0.426,332,CCMSLIB00012715502,Candidate Cadaverine-C3:0 (delta mass:56.0262),M+H,NA
24079,1.793,Regular chow,311.2215,3.926,122,NA,NA,NA,NA
26829,1.793,High Fat Diet,597.2882,4.382,NA,CCMSLIB00010221299,Candidate Dihydroxylated bile acid (delta mass 203.9867),M+H,"Dihydroxylated bile acid_3,5-dihydroxy-4-methoxybenzoic acid [M+K]+"
33589,1.792,Regular chow,433.2854,5.785,NA,NA,NA,NA,NA
20308,1.791,Regular chow,325.2741,3.084,533,NA,NA,NA,NA
23272,1.791,Regular chow,377.2801,3.641,NA,NA,NA,NA,NA
2280,1.791,Regular chow,240.0864,0.393,NA,NA,NA,NA,NA
25536,1.790,High Fat Diet,597.2882,4.057,NA,NA,NA,NA,NA
1499,1.789,Regular chow,137.0511,0.297,NA,NA,NA,NA,NA
12232,1.788,Regular chow,315.1669,1.867,670,NA,NA,NA,NA
28293,1.788,Regular chow,277.2165,4.882,NA,CCMSLIB00003140162,Spectral Match to Stearidonic acid from NIST14,M+H,NA
29124,1.788,High Fat Diet,362.2366,4.989,NA,CCMSLIB00010010893,Tau-C16:1,M+H,NA
25598,1.787,Regular chow,345.2639,4.197,741,NA,NA,NA,NA
34535,1.786,High Fat Diet,463.3783,6.023,NA,NA,NA,NA,NA
1454,1.785,Regular chow,99.0423,0.282,339,NA,NA,NA,NA
36810,1.785,High Fat Diet,572.5252,6.816,790,NA,NA,NA,NA
21265,1.785,High Fat Diet,547.3073,3.285,375,CCMSLIB00010222205,"""Candidate Trihydroxylated bile acid (delta mass 138.0116; sirius atomic difference: 1C, -2H, 8N, 1O; buddy atomic difference: 6C, -2H, 6N, -1O)""",M+H,Trihydroxylated bile acid_97-67-6 [M+Na]+
29726,1.785,Regular chow,370.2956,5.107,24,NA,NA,NA,NA
25309,1.785,High Fat Diet,405.2642,4.118,NA,CCMSLIB00010238324,"""Candidate Pentahydroxylated bile acid (delta mass -36.0208; sirius atomic difference: -4H, -2O; buddy atomic difference: -4H, -2O)""",M+H,NA
1075,1.784,Regular chow,381.0798,0.246,NA,NA,NA,NA,NA
16645,1.784,Regular chow,505.7655,2.491,311,NA,NA,NA,NA
2305,1.784,Regular chow,269.0884,0.380,545,CCMSLIB00003134750,Spectral Match to Inosine from NIST14,M+H,NA
25534,1.783,Regular chow,337.2364,4.152,NA,NA,NA,NA,NA
